Регион,Округ,Код участка,Адрес,Абаев Герман Борисович,Ящук Александр Михайлович,Лоев Семён Владимирович,Байр Марк Михайлович,Бредихин Антон Викторович,Данилова Анна Геннадьевна,Бабошина Алина Олеговна,ср
Москва,Список,77.004.34,"город Москва, Хабаровская улица, дом 18А (ГБОУ ""Школа № 1598"")",165,163,163,163,164,164,163,"163,5714286"
Москва,Список,77.005.6,"город Москва, шоссе Энтузиастов, дом 100А (ГБОУ ""Школа № 922"")",163,163,163,163,163,163,166,"163,4285714"
Москва,Список,77.005.34,"город Москва, Магнитогорская улица, дом 15 (ГБОУ ""Школа № 1476"")",164,164,163,163,163,163,164,"163,4285714"
Москва,Список,77.013.12,"город Москва, Большая Черкизовская улица, дом 26 (ГБОУ города Москвы ""Школа № 1505 ""Преображенская"")",163,163,163,163,163,163,164,"163,1428571"
Москва,Список,77.005.31,"город Москва, улица Чечулина, дом 28 (ГБОУ ""Школа № 1373"")",162,162,163,162,162,162,164,"162,4285714"
Москва,Список,77.003.14,"город Москва, Первомайская улица, дом 111 (ГБОУ ""Школа №1811 ""Восточное Измайлово"")",162,163,162,162,162,162,163,"162,2857143"
Москва,Список,77.004.8,"город Москва, Амурская улица, дом 25А (ГБОУ ""Школа № 319"")",163,162,162,162,162,162,162,"162,1428571"
Москва,Список,77.013.9,"город Москва, 2-я Пугачёвская улица, дом 6А (ГБОУ города Москвы ""Школа № 1505 ""Преображенская"")",163,162,162,162,162,162,162,"162,1428571"
Москва,Список,77.005.4,"город Москва, шоссе Энтузиастов, дом 96Г (ГБОУ ""Школа № 1502 при МЭИ"")",161,162,162,161,161,161,161,"161,2857143"
Москва,Список,77.005.12,"город Москва, улица Молостовых, дом 10Б (ГБОУ ""Школа № 922"")",160,160,160,160,160,161,160,"160,1428571"
Москва,Список,77.072.11,"город Москва, улица Исаковского, дом 22, корпус 3 (ГБОУ города Москвы ""Школа № 1519"")",159,159,159,159,159,159,159,159
Москва,Список,77.073.37,"город Москва, улица Маршала Тухачевского, дом 58, корпус 2 (ГБОУ Школа № 1517)",159,159,159,159,159,159,159,159
Москва,Список,77.064.15,"город Москва, улица Грекова, дом 11А (Учебный корпус №2 ГБОУ Школа №1506)",155,155,155,154,154,155,156,"154,8571429"
Москва,Список,77.054.31,"город Москва, Шенкурский проезд, дом 4А (ГБОУ г.Москвы ""Школа №953"", шк.корп. №2)",155,156,152,155,153,154,155,"154,2857143"
Москва,Список,77.054.26,"город Москва, Мурановская улица, дом 8Б (ГБОУ г.Москвы ""Школа № 1412"", шк.корп. №2)",154,152,153,154,154,154,154,"153,5714286"
Москва,Список,77.126.22,"город Москва, поселение Московский, город Московский, 1-й микрорайон, дом 47 (ГБОУ Школа № 2065)",160,151,149,150,149,152,156,"152,4285714"
Москва,Список,77.061.4,"город Москва, Алтуфьевское шоссе, дом 24А (ГБОУ ""Школа № 962"")",151,148,150,151,151,151,152,"150,5714286"
Москва,Список,77.073.14,"город Москва, Новохорошевский проезд, дом 26 (структурное подразделение ГБУК города Москвы ""Клуб ""Феникс"")",153,151,150,150,150,150,150,"150,5714286"
Москва,Список,77.061.10,"город Москва, улица Декабристов, дом 8, корпус 4 (ГБОУ ""Школа № 962"")",1,175,175,175,175,175,175,"150,1428571"
Москва,Список,77.073.20,"город Москва, улица Народного Ополчения, дом 32 (МТУСИ)",148,149,148,148,148,149,149,"148,4285714"
Москва,Список,77.073.44,"город Москва, Живописная улица, дом 11, корпус 2 (ГБОУ Школа № 1517)",148,149,148,148,148,148,148,"148,1428571"
Москва,Список,77.056.5,"город Москва, Угличская улица, дом 17 (здание структурного подразделения № 2  ГБОУ Школа № 1430)",148,150,147,147,148,148,148,148
Москва,Список,77.073.42,"город Москва, Живописная улица, дом 11, корпус 1 (ГБОУ Школа № 1517)",148,148,148,148,148,148,148,148
Москва,Список,77.064.26,"город Москва, проезд Шокальского, дом 63А (Структурное подразделение №7 ГБОУ Школа № 283)",151,151,145,147,141,150,150,"147,8571429"
Москва,Список,77.066.19,"город Москва, Заповедная улица, дом 12 (ГБОУ Школа № 1482)",0,172,172,172,172,172,172,"147,4285714"
Москва,Список,77.064.7,"город Москва, улица Тихомирова, дом 10 (Структурное подразделение ""Средняя общеобразовательная школа"" ГБПОУ ""1-й МОК"")",148,147,147,147,146,147,147,147
Москва,Список,77.054.20,"город Москва, улица Конёнкова, дом 10А (ГБОУ г.Москвы ""Школа ""Многопрофильный комплекс Бибирево"", шк.отд. №2)",149,145,147,147,146,147,147,"146,8571429"
Москва,Список,77.073.27,"город Москва, улица Народного Ополчения, дом 33, корпус 1 (ВМЦ СЗАО)",148,147,146,146,146,146,146,"146,4285714"
Москва,Список,77.054.32,"город Москва, Шенкурский проезд, дом 4А (ГБОУ г.Москвы ""Школа №953"", шк. корп. №2)",2,170,170,170,171,170,170,"146,1428571"
Москва,Список,77.061.9,"город Москва, улица Декабристов, дом 8, корпус 4 (ГБОУ ""Школа № 962"")",2,168,167,168,167,168,168,144
Москва,Список,77.066.14,"город Москва, Сухонская улица, дом 3 (ГБОУ Школа № 1568 имени Пабло Неруды, структурное подразделение № 4)",143,143,144,144,144,143,143,"143,4285714"
Москва,Список,77.073.40,"город Москва, улица Паршина, дом 8 (ГБПОУ ""Московский технологический колледж"")",143,144,143,143,143,143,143,"143,1428571"
Москва,Список,77.044.7,"город Москва, Прибрежный проезд, дом 12 (ГБОУ СОШ № 158)",200,1,200,200,200,0,200,143
